Nazwisko	Imie	Data_urodz	Miejsce_zamieszkania	miesiac	kobieta	rok_ur	wiek	kwota	s1	czy_60	składka
Czarnecka	Ewelina	22190	srednie miasto	10	1	1960	56	25000	0.0012	0	30
Nesterowicz	Piotr	30952	wies	9	0	1984	32	30000	0.0012	0	36
Adamus	Magdalena	24753	duze miasto	10	1	1967	49	25000	0.0012	0	30
Kowalski	Hubert	31544	wies	5	0	1986	30	30000	0.001	0	30
Zamojska	Maria	22780	wies	5	1	1962	54	25000	0.0012	0	30
Matecki	Adam	31694	duze miasto	10	0	1986	30	30000	0.001	0	30
Potocki	Anna	33569	srednie miasto	11	1	1991	25	25000	0.001	0	25
Przybylska	Laura	30372	srednie miasto	2	1	1983	33	25000	0.0012	0	30
Monachijski	Piotr	33568	srednie miasto	11	0	1991	25	30000	0.001	0	30
Cender	Urszula	31111	srednie miasto	3	1	1985	31	25000	0.0012	0	30
Badowski	Bogdan	17347	srednie miasto	6	0	1947	69	30000	0.0012	49	85
Mazurowski	Janusz	33321	duze miasto	3	0	1991	25	30000	0.001	0	30
Lasota	Piotr	26093	duze miasto	6	0	1971	45	30000	0.0012	0	36
Olczak	Damian	17144	duze miasto	12	0	1946	70	30000	0.0012	49	85
Kolesinski	Konstanty	26019	duze miasto	3	0	1971	45	30000	0.0012	0	36
Pakulski	Bogdan	30193	srednie miasto	8	0	1982	34	30000	0.0012	0	36
Banasiak	Paulina	29668	wies	3	1	1981	35	25000	0.0012	0	30
Bajdek	Katarzyna	34945	male miasto	9	1	1995	21	25000	0.001	0	25
Chojnacka	Monika	23309	wies	10	1	1963	53	25000	0.0012	0	30
Karpowicz	Anna	16498	srednie miasto	3	1	1945	71	25000	0.0012	49	79
Korcela	Marta	19872	duze miasto	5	1	1954	62	25000	0.0012	49	79
Deska	Ewa	26018	srednie miasto	3	1	1971	45	25000	0.0012	0	30
Krencik	Maciej	25110	male miasto	9	0	1968	48	30000	0.0012	0	36
Nawrot	Janusz	33411	wies	6	0	1991	25	30000	0.001	0	30
Legnicka	Karolina	30969	duze miasto	10	1	1984	32	25000	0.0012	0	30
Wenecka	Justyna	19368	duze miasto	1	1	1953	63	25000	0.0012	49	79
Kaleta	Natalia	23668	male miasto	10	1	1964	52	25000	0.0012	0	30
Samarskyi	Kostiantyn	19851	duze miasto	5	0	1954	62	30000	0.0012	49	85
Tkacz	Adam	17896	wies	12	0	1948	68	30000	0.0012	49	85
Borsuk	Magdalena	25045	duze miasto	7	1	1968	48	25000	0.0012	0	30
Anusz	Anna	18367	duze miasto	4	1	1950	66	25000	0.0012	49	79
Trzebnicka	Anna	21630	srednie miasto	3	1	1959	57	25000	0.0012	0	30
Bardzio	Celina	16075	male miasto	1	1	1944	72	25000	0.0012	49	79
Firlej	Anna	30640	srednie miasto	11	1	1983	33	25000	0.0012	0	30
Sadcza	Romuald	21633	duze miasto	3	0	1959	57	30000	0.0012	0	36
Uniejewski	Tobiasz	22843	srednie miasto	7	0	1962	54	30000	0.0012	0	36
Iwaszko	Katarzyna	22944	duze miasto	10	1	1962	54	25000	0.0012	0	30
Rutkowski	Sebastian	28856	srednie miasto	1	0	1979	37	30000	0.0012	0	36
Kubiak	Aleksandra	27510	wies	4	1	1975	41	25000	0.0012	0	30
Krakowska	Karolina	24744	duze miasto	9	1	1967	49	25000	0.0012	0	30
Uss	Adrian	26703	male miasto	2	0	1973	43	30000	0.0012	0	36
Zasada	Joanna	18847	srednie miasto	8	1	1951	65	25000	0.0012	49	79
Majka	Danuta	33899	duze miasto	10	1	1992	24	25000	0.001	0	25
Kaczmar	Monika	34773	duze miasto	3	1	1995	21	25000	0.001	0	25
Adamczyk	Irena	28929	srednie miasto	3	1	1979	37	25000	0.0012	0	30
Jasiak	Monika	17612	male miasto	3	1	1948	68	25000	0.0012	49	79
